id,driver_profile_id,vehicle_id,departure_city_id,arrival_city_id,departure_time,price_per_seat,total_seats,available_seats,meeting_point,notes,status,created_at,updated_at
1,1,1,1,2,2026-06-11 19:00:00,70.00,4,2,Gare Casa Voyageurs,Departure near the main taxi lane,scheduled,2026-04-27 09:00:00,2026-06-11 09:30:00
2,5,6,1,3,2026-06-11 07:30:00,120.00,3,1,Technopark Casablanca,Direct test ride with open seats,scheduled,2026-04-27 09:30:00,2026-06-11 09:30:00
3,2,2,2,5,2026-03-08 17:00:00,95.00,3,0,Agdal Station,On time departure,completed,2026-03-05 10:00:00,2026-03-08 21:30:00
4,3,3,3,6,2026-03-09 09:00:00,80.00,4,0,Gare Marrakech,One medium bag per traveler,completed,2026-03-06 11:00:00,2026-03-09 13:45:00
5,6,7,4,1,2026-06-11 06:45:00,150.00,3,1,Tangier City Mall,Driver may stop once on the highway,scheduled,2026-04-27 08:00:00,2026-06-11 09:30:00
6,2,2,5,2,2026-03-20 14:30:00,90.00,3,0,Gare Fes,Cancelled because of vehicle maintenance,cancelled,2026-03-12 14:00:00,2026-03-13 09:00:00
7,1,1,1,2,2026-03-01 08:00:00,70.00,4,0,Gare Casa Voyageurs,Early morning direct ride,completed,2026-02-25 09:00:00,2026-03-01 11:00:00
8,1,5,3,4,2026-03-04 15:30:00,115.00,3,0,Menara Mall,Comfort stop planned on the highway,completed,2026-02-27 12:00:00,2026-03-04 19:00:00
9,2,2,2,5,2026-06-11 09:15:00,95.00,3,2,Agdal Station,Direct ride with one small bag per traveler,scheduled,2026-05-18 10:00:00,2026-06-11 17:05:00
10,3,3,3,6,2026-06-11 11:00:00,85.00,4,3,Gare Marrakech,Comfortable car with flexible music volume,scheduled,2026-05-18 10:15:00,2026-06-11 17:05:00
11,4,4,5,4,2026-06-11 12:30:00,100.00,3,2,Gare Fes,Demo ride ready for completion testing,scheduled,2026-05-18 10:30:00,2026-06-11 17:05:00
